省份,城市,年份,价格,趋势,,,,,,
安徽,淮北,2022,7448,0.09%↓,,,,,,
安徽,淮北,2023,6772,1.79%↓,,,,,,
安徽,淮北,2024,6650,0.85%↓,,,,,,
安徽,淮南,2015,4283,--,,,,,,
安徽,淮南,2016,4289,0.04%↓,,,,,,
安徽,淮南,2017,5407,0.03%↑,,,,,,
安徽,淮南,2018,5738,0.45%↓,,,,,,
安徽,淮南,2019,6088,0.51%↓,,,,,,
安徽,淮南,2020,6205,0.07%↓,,,,,,
安徽,淮南,2021,6124,0.29%↑,,,,,,
安徽,淮南,2022,6551,2.6%↑,,,,,,
安徽,淮南,2023,5519,1%↓,,,,,,
安徽,淮南,2024,5602,0.83%↑,,,,,,
安徽,黄山,2015,5627,--,,,,,,
安徽,黄山,2016,5652,1.16%↑,,,,,,
安徽,黄山,2017,8790,0.02%↓,,,,,,
安徽,黄山,2018,9061,4.39%↓,,,,,,
安徽,黄山,2019,8571,2.34%↓,,,,,,
安徽,黄山,2020,8617,1.22%↑,,,,,,
安徽,黄山,2021,8297,1.9%↓,,,,,,
安徽,黄山,2022,8624,3.12%↑,,,,,,
安徽,黄山,2023,7838,4.38%↓,,,,,,
安徽,黄山,2024,7750,0.53%↑,,,,,,
安徽,霍邱,2019,5967,0.02%↑,,,,,,
安徽,霍邱,2020,5689,--,,,,,,
安徽,霍邱,2021,5689,--,,,,,,
安徽,霍邱,2022,5689,--,,,,,,
安徽,霍邱,2023,5689,--,,,,,,
安徽,霍邱,2024,5689,--,,,,,,
安徽,六安,2015,5150,--,,,,,,
安徽,六安,2016,5788,2.66%↑,,,,,,
安徽,六安,2017,7870,--,,,,,,
安徽,六安,2018,7746,1.31%↓,,,,,,
安徽,六安,2019,7610,1.29%↓,,,,,,
安徽,六安,2020,7373,1.32%↓,,,,,,
安徽,六安,2021,7001,1.5%↓,,,,,,
安徽,六安,2022,6491,0.42%↑,,,,,,
安徽,六安,2023,5637,0.55%↓,,,,,,
安徽,六安,2024,5601,0.83%↑,,,,,,
安徽,马鞍山,2015,4985,--,,,,,,
安徽,马鞍山,2016,4872,0.43%↓,,,,,,
安徽,马鞍山,2017,5939,0.01%↓,,,,,,
安徽,马鞍山,2018,6514,0.45%↓,,,,,,
安徽,马鞍山,2019,7137,0.78%↑,,,,,,
安徽,马鞍山,2020,7667,1.63%↑,,,,,,
安徽,马鞍山,2021,8877,1.34%↓,,,,,,
安徽,马鞍山,2022,9183,1.2%↑,,,,,,
安徽,马鞍山,2023,7847,1.43%↓,,,,,,
安徽,马鞍山,2024,7830,0.21%↑,,,,,,
安徽,宿州,2015,5166,1%↓,,,,,,
安徽,宿州,2016,5056,0.05%↓,,,,,,
安徽,宿州,2017,5629,0.02%↑,,,,,,
安徽,宿州,2018,6283,0.27%↓,,,,,,
安徽,宿州,2019,6526,0.05%↓,,,,,,
安徽,宿州,2020,6642,0.17%↑,,,,,,
安徽,宿州,2021,6653,0.12%↓,,,,,,
安徽,宿州,2022,6571,0.02%↑,,,,,,
安徽,宿州,2023,6650,0.27%↓,,,,,,
安徽,宿州,2024,6559,0.82%↓,,,,,,
安徽,桐城,2019,5780,--,,,,,,
安徽,桐城,2020,5842,0.21%↓,,,,,,
安徽,桐城,2021,5813,0.36%↓,,,,,,
安徽,桐城,2022,5830,--,,,,,,
安徽,桐城,2023,5631,0.11%↓,,,,,,
安徽,桐城,2024,5596,0.14%↓,,,,,,
安徽,铜陵,2015,5381,--,,,,,,
安徽,铜陵,2016,219,32.82%↓,,,,,,
安徽,铜陵,2017,7305,0.04%↑,,,,,,
安徽,铜陵,2018,8550,1.83%↓,,,,,,
安徽,铜陵,2019,7978,0.9%↑,,,,,,
安徽,铜陵,2020,7775,0.5%↓,,,,,,
安徽,铜陵,2021,7597,1.43%↓,,,,,,
安徽,铜陵,2022,7292,0.37%↑,,,,,,
安徽,铜陵,2023,6512,1.36%↓,,,,,,
安徽,铜陵,2024,6524,0.14%↑,,,,,,
安徽,芜湖,2015,5896,--,,,,,,
安徽,芜湖,2016,6613,1.36%↑,,,,,,
安徽,芜湖,2017,9175,--,,,,,,
安徽,芜湖,2018,10316,4.06%↓,,,,,,
安徽,芜湖,2019,9671,0.94%↓,,,,,,
安徽,芜湖,2020,9506,0.88%↓,,,,,,
安徽,芜湖,2021,9984,0.92%↑,,,,,,
安徽,芜湖,2022,9641,2.29%↓,,,,,,
安徽,芜湖,2023,8675,1.32%↓,,,,,,
安徽,芜湖,2024,8533,0.03%↑,,,,,,
安徽,宣城,2017,8156,0.08%↑,,,,,,
安徽,宣城,2018,8321,1.93%↓,,,,,,
安徽,宣城,2019,8200,0.18%↑,,,,,,
安徽,宣城,2020,8179,0.19%↓,,,,,,
安徽,宣城,2021,8151,0.01%↓,,,,,,
安徽,宣城,2022,8166,0.33%↑,,,,,,
安徽,宣城,2023,7962,0.6%↓,,,,,,
安徽,宣城,2024,7871,0.28%↓,,,,,,
福建,福州,2015,14577,1%↑,,,,,,
福建,福州,2016,19822,4.61%↑,,,,,,
福建,福州,2017,26771,--,,,,,,
福建,福州,2018,24698,1.09%↓,,,,,,
福建,福州,2019,24281,0.82%↓,,,,,,
福建,福州,2020,23505,0.33%↓,,,,,,
福建,福州,2021,23479,0.1%↓,,,,,,
福建,福州,2022,21137,0.56%↓,,,,,,
福建,福州,2023,20585,0.28%↓,,,,,,
福建,福州,2024,20126,1.66%↓,,,,,,
福建,龙岩,2015,8382,18%↑,,,,,,
福建,龙岩,2016,8645,0.16%↑,,,,,,
福建,龙岩,2017,10566,0.01%↑,,,,,,
福建,龙岩,2018,10967,1.57%↓,,,,,,
福建,龙岩,2019,11783,0.94%↑,,,,,,
福建,龙岩,2020,12761,0.06%↓,,,,,,
福建,龙岩,2021,13105,0.54%↓,,,,,,
福建,龙岩,2022,12149,0.96%↓,,,,,,
福建,龙岩,2023,10767,2.26%↓,,,,,,
福建,龙岩,2024,10745,0.85%↑,,,,,,
福建,南平,2016,5897,--,,,,,,
福建,南平,2017,7872,0.02%↑,,,,,,
福建,南平,2018,8278,0.38%↑,,,,,,
福建,南平,2019,8496,1.64%↑,,,,,,
福建,南平,2020,8655,0.11%↑,,,,,,
福建,南平,2021,9059,0.96%↓,,,,,,
福建,南平,2022,8953,2.09%↑,,,,,,
福建,南平,2023,7966,1.3%↓,,,,,,
福建,南平,2024,8165,1.1%↑,,,,,,
福建,宁德,2016,6779,--,,,,,,
福建,宁德,2017,9491,--,,,,,,
福建,宁德,2018,10044,3.16%↓,,,,,,
福建,宁德,2019,10726,1.26%↑,,,,,,
福建,宁德,2020,12586,0.07%↑,,,,,,
福建,宁德,2021,13826,2.48%↑,,,,,,
福建,宁德,2022,13926,0.47%↓,,,,,,
福建,宁德,2023,13485,1.1%↓,,,,,,
福建,宁德,2024,12959,2.85%↓,,,,,,
福建,莆田,2015,10000,1%↓,,,,,,
福建,莆田,2016,9912,1.5%↑,,,,,,
福建,莆田,2017,13656,0.03%↑,,,,,,
福建,莆田,2018,13594,3.59%↓,,,,,,
福建,莆田,2019,12147,0.93%↓,,,,,,
福建,莆田,2020,12510,0.31%↑,,,,,,
福建,莆田,2021,13023,0.15%↑,,,,,,
福建,莆田,2022,12667,0.08%↓,,,,,,
福建,莆田,2023,12714,0.62%↓,,,,,,
福建,莆田,2024,12627,0.45%↓,,,,,,
福建,泉州,2015,7845,1%↓,,,,,,
福建,泉州,2016,8417,0.56%↑,,,,,,
福建,泉州,2017,10651,0.01%↑,,,,,,
福建,泉州,2018,11219,0.23%↑,,,,,,
福建,泉州,2019,11343,0.45%↓,,,,,,
福建,泉州,2020,12514,1.24%↑,,,,,,
福建,泉州,2021,15063,1.58%↓,,,,,,
福建,泉州,2022,14653,2.33%↓,,,,,,
福建,泉州,2023,14032,0.01%↓,,,,,,
福建,泉州,2024,13755,0.86%↓,,,,,,
福建,三明,2015,7483,6%↓,,,,,,
福建,三明,2016,7083,0.18%↑,,,,,,
福建,三明,2017,7472,0.16%↑,,,,,,
福建,三明,2018,8232,0.51%↑,,,,,,
福建,三明,2019,9723,0.15%↓,,,,,,
福建,三明,2020,10241,1.97%↑,,,,,,
福建,三明,2021,10543,1.4%↑,,,,,,
福建,三明,2022,10611,0.19%↓,,,,,,
福建,三明,2023,10389,1.73%↓,,,,,,
福建,三明,2024,9643,5.74%↓,,,,,,
福建,厦门,2015,25970,--,,,,,,
福建,厦门,2016,38883,1.69%↑,,,,,,
福建,厦门,2017,47177,0.03%↓,,,,,,
福建,厦门,2018,43565,0.22%↓,,,,,,
福建,厦门,2019,46003,0.66%↓,,,,,,
福建,厦门,2020,49924,1.71%↑,,,,,,
福建,厦门,2021,50870,0.31%↑,,,,,,
福建,厦门,2022,53067,0.53%↑,,,,,,
福建,厦门,2023,52450,0.36%↓,,,,,,
福建,厦门,2024,51960,0.56%↓,,,,,,
福建,武夷山,2019,10708,0.47%↓,,,,,,
福建,武夷山,2020,10980,2.62%↑,,,,,,
福建,武夷山,2021,10546,0.09%↑,,,,,,
福建,武夷山,2022,10695,--,,,,,,
福建,武夷山,2023,10391,1.03%↓,,,,,,
福建,武夷山,2024,10355,0.28%↓,,,,,,
福建,漳州,2015,8508,--,,,,,,
福建,漳州,2016,9661,1.68%↑,,,,,,
福建,漳州,2017,13670,0.01%↓,,,,,,
福建,漳州,2018,12371,1.57%↓,,,,,,
福建,漳州,2019,12935,0.76%↓,,,,,,
福建,漳州,2020,12931,0.17%↓,,,,,,
福建,漳州,2021,12779,1.28%↓,,,,,,
福建,漳州,2022,12672,1.14%↓,,,,,,
福建,漳州,2023,11798,2.81%↓,,,,,,
福建,漳州,2024,11292,1.25%↓,,,,,,
甘肃,白银,2018,4866,1.64%↑,,,,,,
甘肃,白银,2019,5664,0.03%↑,,,,,,
甘肃,白银,2020,5604,1.42%↓,,,,,,
甘肃,白银,2021,5628,0.26%↑,,,,,,
甘肃,白银,2022,5598,0.4%↑,,,,,,
甘肃,白银,2023,5372,1.15%↓,,,,,,
甘肃,白银,2024,5346,0.1%↓,,,,,,
甘肃,定西,2016,4868,0.07%↓,,,,,,
甘肃,定西,2017,5218,0.01%↑,,,,,,
甘肃,定西,2018,4894,0.01%↑,,,,,,
甘肃,定西,2019,5678,0.49%↑,,,,,,
甘肃,定西,2020,5936,1.1%↑,,,,,,
甘肃,定西,2021,6176,0.08%↑,,,,,,
甘肃,定西,2022,5957,1.55%↓,,,,,,
甘肃,定西,2023,6336,0.3%↓,,,,,,
甘肃,定西,2024,6293,0.29%↑,,,,,,
甘肃,嘉峪关,2019,4332,0.24%↑,,,,,,
甘肃,嘉峪关,2020,4586,0.63%↑,,,,,,
甘肃,嘉峪关,2021,4757,0.15%↓,,,,,,
甘肃,嘉峪关,2022,4858,0.8%↑,,,,,,
甘肃,嘉峪关,2023,5106,0.24%↑,,,,,,
甘肃,嘉峪关,2024,5159,0.68%↑,,,,,,
甘肃,金昌,2019,4320,--,,,,,,
甘肃,金昌,2020,4778,2.74%↓,,,,,,
甘肃,金昌,2021,4450,0.45%↓,,,,,,
甘肃,金昌,2022,4765,2.09%↑,,,,,,
甘肃,金昌,2023,5091,0.73%↑,,,,,,
甘肃,金昌,2024,5141,0.08%↑,,,,,,
甘肃,酒泉,2016,4743,0.53%↑,,,,,,
甘肃,酒泉,2017,5175,0.01%↑,,,,,,
甘肃,酒泉,2018,5328,0.52%↑,,,,,,
甘肃,酒泉,2019,5419,0.24%↓,,,,,,
甘肃,酒泉,2020,5574,0.94%↑,,,,,,
甘肃,酒泉,2021,5711,0.35%↓,,,,,,
甘肃,酒泉,2022,5868,0.13%↑,,,,,,
甘肃,酒泉,2023,6472,0.81%↑,,,,,,
甘肃,酒泉,2024,6454,0.48%↑,,,,,,
甘肃,兰州,2015,8465,1%↓,,,,,,
甘肃,兰州,2016,9014,0.89%↑,,,,,,
甘肃,兰州,2017,9989,0.01%↑,,,,,,
甘肃,兰州,2018,11636,1.02%↑,,,,,,
甘肃,兰州,2019,12432,0.31%↑,,,,,,
甘肃,兰州,2020,12888,0.38%↑,,,,,,
甘肃,兰州,2021,12480,1.46%↓,,,,,,
甘肃,兰州,2022,11771,0.32%↓,,,,,,
甘肃,兰州,2023,10715,0.49%↓,,,,,,
甘肃,兰州,2024,10631,0.51%↓,,,,,,
甘肃,临夏,2019,5233,0.11%↑,,,,,,
甘肃,临夏,2020,6372,0.32%↑,,,,,,
甘肃,临夏,2021,6445,0.07%↓,,,,,,
甘肃,临夏,2022,5598,3.73%↓,,,,,,
甘肃,临夏,2023,6752,0.37%↓,,,,,,
甘肃,临夏,2024,6715,0.55%↓,,,,,,
甘肃,陇南,2019,7790,--,,,,,,
甘肃,陇南,2020,7575,0.03%↑,,,,,,
甘肃,陇南,2021,7819,0.46%↑,,,,,,
甘肃,陇南,2022,7777,--,,,,,,
甘肃,陇南,2023,7667,1.56%↓,,,,,,
甘肃,陇南,2024,7745,1.31%↑,,,,,,
甘肃,平凉,2016,6144,0.31%↑,,,,,,
甘肃,平凉,2017,6748,0.02%↑,,,,,,
甘肃,平凉,2018,6543,0.96%↑,,,,,,
甘肃,平凉,2019,6642,0.48%↓,,,,,,
甘肃,平凉,2020,6811,0.16%↑,,,,,,
甘肃,平凉,2021,6659,0.57%↓,,,,,,
甘肃,平凉,2022,6450,0.32%↓,,,,,,
甘肃,平凉,2023,6187,0.49%↓,,,,,,
甘肃,平凉,2024,6008,1.48%↓,,,,,,
甘肃,庆阳,2016,5451,9.03%↑,,,,,,
甘肃,庆阳,2017,5991,0.04%↑,,,,,,
甘肃,庆阳,2018,7174,1.07%↑,,,,,,
甘肃,庆阳,2019,7656,0.61%↑,,,,,,
甘肃,庆阳,2020,7979,0.84%↑,,,,,,
甘肃,庆阳,2021,8033,0.15%↑,,,,,,
甘肃,庆阳,2022,7632,0.34%↓,,,,,,
甘肃,庆阳,2023,7703,0.18%↓,,,,,,
甘肃,庆阳,2024,7672,0.24%↓,,,,,,
甘肃,天水,2018,8136,1.44%↑,,,,,,
甘肃,天水,2019,9801,0.03%↓,,,,,,
甘肃,天水,2020,9844,1.3%↓,,,,,,
甘肃,天水,2021,9547,0.27%↓,,,,,,
甘肃,天水,2022,8844,0.68%↓,,,,,,
甘肃,天水,2023,7839,0.79%↓,,,,,,
甘肃,天水,2024,7811,0.35%↓,,,,,,
甘肃,武威,2018,6641,2.66%↑,,,,,,
甘肃,武威,2019,6556,0.3%↑,,,,,,
甘肃,武威,2020,6845,1.02%↑,,,,,,
甘肃,武威,2021,6837,0.77%↓,,,,,,
甘肃,武威,2022,6628,0.47%↑,,,,,,
甘肃,武威,2023,6521,0.99%↓,,,,,,
甘肃,武威,2024,6533,0.38%↑,,,,,,
甘肃,张掖,2019,3575,0.03%↓,,,,,,
甘肃,张掖,2020,3577,0.13%↑,,,,,,
甘肃,张掖,2021,3654,1.01%↑,,,,,,
甘肃,张掖,2022,3635,0.35%↓,,,,,,
甘肃,张掖,2023,3882,--,,,,,,
甘肃,张掖,2024,3919,1.39%↑,,,,,,
广东,潮州,2017,6366,0.15%↑,,,,,,
广东,潮州,2018,8593,1.54%↓,,,,,,
广东,潮州,2019,6927,1.88%↓,,,,,,
广东,潮州,2020,6157,3.43%↑,,,,,,
广东,潮州,2021,6050,1.02%↑,,,,,,
广东,潮州,2022,6261,1.24%↑,,,,,,
广东,潮州,2023,7116,2.76%↓,,,,,,
广东,潮州,2024,7158,0.18%↑,,,,,,
广东,东莞,2015,8371,--,,,,,,
广东,东莞,2016,11651,5.06%↑,,,,,,
广东,东莞,2017,13913,0.01%↑,,,,,,
广东,东莞,2018,14813,0.95%↓,,,,,,
广东,东莞,2019,16105,1.16%↑,,,,,,
广东,东莞,2020,18296,2.94%↑,,,,,,
广东,东莞,2021,20449,2.95%↑,,,,,,
广东,东莞,2022,21440,0.73%↑,,,,,,
广东,东莞,2023,20147,2.8%↓,,,,,,
广东,东莞,2024,19875,0.08%↑,,,,,,
广东,佛山,2015,6082,1%↓,,,,,,
广东,佛山,2016,7161,2.54%↑,,,,,,
广东,佛山,2017,10229,0.01%↑,,,,,,
广东,佛山,2018,10908,1.19%↑,,,,,,
广东,佛山,2019,12652,1.13%↑,,,,,,
广东,佛山,2020,13173,2.18%↑,,,,,,
广东,佛山,2021,14154,0.53%↓,,,,,,
广东,佛山,2022,14785,1.2%↓,,,,,,
广东,佛山,2023,13979,0.6%↓,,,,,,
广东,佛山,2024,14073,0.28%↑,,,,,,
广东,广州,2015,20016,--,,,,,,
广东,广州,2016,22926,1.49%↑,,,,,,
广东,广州,2017,28578,2.03%↑,,,,,,
广东,广州,2018,32088,0.42%↓,,,,,,
广东,广州,2019,31692,1.6%↑,,,,,,
广东,广州,2020,33364,0.54%↓,,,,,,
广东,广州,2021,34962,1.41%↑,,,,,,
广东,广州,2022,33549,0.41%↓,,,,,,
广东,广州,2023,31203,1.62%↓,,,,,,
广东,广州,2024,30608,1.32%↓,,,,,,
广东,河源,2015,8223,14%↑,,,,,,
广东,河源,2016,6361,0.5%↓,,,,,,
广东,河源,2017,6429,0.03%↓,,,,,,
广东,河源,2018,6445,1.47%↓,,,,,,
广东,河源,2019,6405,0.24%↓,,,,,,
广东,河源,2020,6449,0.31%↓,,,,,,
广东,河源,2021,6326,2.94%↓,,,,,,
广东,河源,2022,6016,0.38%↑,,,,,,
广东,河源,2023,5512,0.37%↓,,,,,,
广东,河源,2024,5490,0.53%↓,,,,,,
广东,惠州,2015,6125,2%↑,,,,,,
广东,惠州,2016,8184,0.95%↑,,,,,,
广东,惠州,2017,10227,0.03%↑,,,,,,
广东,惠州,2018,10013,1.27%↓,,,,,,
广东,惠州,2019,9956,0.59%↑,,,,,,
广东,惠州,2020,10254,0.99%↑,,,,,,
广东,惠州,2021,10490,1.34%↓,,,,,,
广东,惠州,2022,10965,1.43%↑,,,,,,
广东,惠州,2023,9792,0.24%↓,,,,,,
广东,惠州,2024,9744,0.39%↑,,,,,,
广东,江门,2015,5043,37%↑,,,,,,
广东,江门,2016,5487,1.98%↑,,,,,,
广东,江门,2017,6689,0.01%↓,,,,,,
广东,江门,2018,7140,1.2%↓,,,,,,
广东,江门,2019,7149,0.13%↑,,,,,,
广东,江门,2020,7048,0.07%↓,,,,,,
广东,江门,2021,7595,0.77%↑,,,,,,
广东,江门,2022,7487,2.66%↑,,,,,,
广东,江门,2023,7047,1.59%↓,,,,,,
广东,江门,2024,7060,0.18%↑,,,,,,
广东,揭阳,2015,5526,5%↑,,,,,,
广东,揭阳,2016,5012,0.33%↓,,,,,,
广东,揭阳,2017,6096,0.12%↑,,,,,,
广东,揭阳,2018,6171,2.49%↓,,,,,,
广东,揭阳,2019,6775,2.04%↑,,,,,,
广东,揭阳,2020,6491,1.52%↑,,,,,,
广东,揭阳,2021,6462,0.44%↓,,,,,,
广东,揭阳,2022,6784,1.41%↑,,,,,,
广东,揭阳,2023,6542,0.69%↑,,,,,,
广东,揭阳,2024,6531,--,,,,,,
广东,茂名,2015,5585,--,,,,,,
广东,茂名,2016,5909,0.19%↑,,,,,,
广东,茂名,2017,7295,0.02%↓,,,,,,
广东,茂名,2018,7195,1.97%↓,,,,,,
广东,茂名,2019,7862,3.47%↓,,,,,,
广东,茂名,2020,7007,0.58%↑,,,,,,
广东,茂名,2021,7224,0.47%↓,,,,,,
广东,茂名,2022,6725,3.13%↓,,,,,,
广东,茂名,2023,6663,0.07%↓,,,,,,
广东,茂名,2024,6656,0.55%↓,,,,,,
广东,梅州,2017,7919,0.06%↑,,,,,,
广东,梅州,2018,7038,5.74%↓,,,,,,
广东,梅州,2019,5798,0.18%↓,,,,,,
广东,梅州,2020,5795,0.03%↓,,,,,,
广东,梅州,2021,5807,0.2%↓,,,,,,
广东,梅州,2022,5814,0.29%↓,,,,,,
广东,梅州,2023,5974,0.9%↑,,,,,,
广东,梅州,2024,6059,0.35%↑,,,,,,
广东,清远,2015,3834,1%↓,,,,,,
广东,清远,2016,4000,0.3%↓,,,,,,
广东,清远,2017,6690,0.05%↑,,,,,,
广东,清远,2018,7119,0.48%↓,,,,,,
广东,清远,2019,7309,0.85%↓,,,,,,
广东,清远,2020,7186,0.12%↑,,,,,,
广东,清远,2021,6811,3.4%↓,,,,,,
广东,清远,2022,6314,1.08%↓,,,,,,
广东,清远,2023,6188,1.49%↓,,,,,,
广东,清远,2024,6180,1.47%↓,,,,,,
广东,汕头,2015,7479,--,,,,,,
广东,汕头,2016,7596,0.34%↓,,,,,,
广东,汕头,2017,8339,0.03%↑,,,,,,
广东,汕头,2018,8750,0.73%↓,,,,,,
广东,汕头,2019,9564,1.11%↓,,,,,,
广东,汕头,2020,9507,0.26%↓,,,,,,
广东,汕头,2021,10140,1.83%↑,,,,,,
广东,汕头,2022,10510,0.31%↑,,,,,,
广东,汕头,2023,9509,2.23%↓,,,,,,
广东,汕头,2024,9510,0.32%↑,,,,,,
广东,汕尾,2016,4365,--,,,,,,
广东,汕尾,2017,7554,0.09%↓,,,,,,
广东,汕尾,2018,6673,1.76%↓,,,,,,
广东,汕尾,2019,7039,0.23%↓,,,,,,
广东,汕尾,2020,7023,0.09%↓,,,,,,
广东,汕尾,2021,6980,0.2%↓,,,,,,
广东,汕尾,2022,7082,0.47%↑,,,,,,
广东,汕尾,2023,6690,1.44%↓,,,,,,
广东,汕尾,2024,6776,1.06%↑,,,,,,
广东,韶关,2015,4598,5%↓,,,,,,
广东,韶关,2016,4773,0.05%↑,,,,,,
广东,韶关,2017,5218,0.03%↑,,,,,,
广东,韶关,2018,5512,0.51%↓,,,,,,
广东,韶关,2019,5793,0.28%↑,,,,,,
广东,韶关,2020,5692,1.32%↓,,,,,,
广东,韶关,2021,5576,1.61%↑,,,,,,
广东,韶关,2022,5783,0.05%↑,,,,,,
广东,韶关,2023,5472,2.41%↓,,,,,,
广东,韶关,2024,5520,0.92%↑,,,,,,
广东,深圳,2015,41494,5%↑,,,,,,
广东,深圳,2016,43289,3.76%↓,,,,,,
广东,深圳,2017,51477,0.39%↑,,,,,,
广东,深圳,2018,53205,0.95%↓,,,,,,
广东,深圳,2019,54790,0.15%↑,,,,,,
广东,深圳,2020,56795,0.35%↑,,,,,,
广东,深圳,2021,57313,0.24%↑,,,,,,
广东,深圳,2022,57691,0.11%↑,,,,,,
广东,深圳,2023,57590,0.23%↑,,,,,,
广东,深圳,2024,57894,0.25%↑,,,,,,
广东,顺德,2016,6261,--,,,,,,
广东,顺德,2017,10909,--,,,,,,
广东,顺德,2018,8888,--,,,,,,
广东,顺德,2019,9998,1.14%↑,,,,,,
广东,顺德,2020,10889,1.68%↓,,,,,,
广东,顺德,2021,11075,0.28%↑,,,,,,
广东,顺德,2022,11075,--,,,,,,
广东,顺德,2023,11075,--,,,,,,
广东,顺德,2024,11075,--,,,,,,
广东,台山,2017,6444,0.18%↑,,,,,,
广东,台山,2018,6494,3.57%↑,,,,,,
广东,台山,2019,6719,1.63%↓,,,,,,
