省份,城市,年份,价格,趋势,,,,,,,
安徽,和县,2024,7043,—,,,,,,,
安徽,淮北,2015,5032,—,,,,,,,
安徽,淮北,2016,5372,—,,,,,,,
安徽,淮北,2017,5894,0.04% ↓,,,,,,,
安徽,淮北,2018,6239,0.09% ↓,,,,,,,
安徽,淮北,2019,6774,0.72% ↑,,,,,,,
安徽,淮北,2020,6923,0.34% ↑,,,,,,,
安徽,淮北,2021,7561,0.62% ↓,,,,,,,
安徽,淮北,2022,7386,0.12% ↓,,,,,,,
安徽,淮北,2023,6717,1.79% ↓,,,,,,,
安徽,淮北,2024,6596,0.85% ↓,,,,,,,
安徽,淮南,2015,4248,—,,,,,,,
安徽,淮南,2016,4254,0.04% ↓,,,,,,,
安徽,淮南,2017,5363,0.03% ↑,,,,,,,
安徽,淮南,2018,5692,0.45% ↓,,,,,,,
安徽,淮南,2019,6041,0.47% ↓,,,,,,,
安徽,淮南,2020,6232,0.37% ↑,,,,,,,
安徽,淮南,2021,6094,1.58% ↓,,,,,,,
安徽,淮南,2022,6464,2.08% ↑,,,,,,,
安徽,淮南,2023,5474,1.00% ↓,,,,,,,
安徽,淮南,2024,5557,0.83% ↑,,,,,,,
安徽,黄山,2015,5581,—,,,,,,,
安徽,黄山,2016,5606,1.16% ↑,,,,,,,
安徽,黄山,2017,8719,0.02% ↓,,,,,,,
安徽,黄山,2018,8988,4.39% ↓,,,,,,,
安徽,黄山,2019,8506,2.29% ↓,,,,,,,
安徽,黄山,2020,8366,0.12% ↑,,,,,,,
安徽,黄山,2021,8612,0.15% ↑,,,,,,,
安徽,黄山,2022,8508,2.55% ↑,,,,,,,
安徽,黄山,2023,7775,4.38% ↓,,,,,,,
安徽,黄山,2024,7688,0.53% ↑,,,,,,,
安徽,霍邱,2019,5919,0.02% ↑,,,,,,,
安徽,霍邱,2020,5643,—,,,,,,,
安徽,霍邱,2021,5643,—,,,,,,,
安徽,霍邱,2022,5643,—,,,,,,,
安徽,霍邱,2023,5643,—,,,,,,,
安徽,霍邱,2024,5643,—,,,,,,,
安徽,六安,2015,5108,—,,,,,,,
安徽,六安,2016,5741,2.66% ↑,,,,,,,
安徽,六安,2017,7807,—,,,,,,,
安徽,六安,2018,7684,1.31% ↓,,,,,,,
安徽,六安,2019,7554,1.22% ↓,,,,,,,
安徽,六安,2020,7470,0.48% ↓,,,,,,,
安徽,六安,2021,7167,1.00% ↓,,,,,,,
安徽,六安,2022,6434,0.34% ↑,,,,,,,
安徽,六安,2023,5591,0.55% ↓,,,,,,,
安徽,六安,2024,5556,0.83% ↑,,,,,,,
安徽,马鞍山,2015,4945,—,,,,,,,
安徽,马鞍山,2016,4833,0.43% ↓,,,,,,,
安徽,马鞍山,2017,5891,0.01% ↓,,,,,,,
安徽,马鞍山,2018,6461,0.45% ↓,,,,,,,
安徽,马鞍山,2019,7077,0.74% ↑,,,,,,,
安徽,马鞍山,2020,7357,0.17% ↓,,,,,,,
安徽,马鞍山,2021,9111,0.27% ↓,,,,,,,
安徽,马鞍山,2022,9040,0.44% ↑,,,,,,,
安徽,马鞍山,2023,7784,1.43% ↓,,,,,,,
安徽,马鞍山,2024,7767,0.21% ↑,,,,,,,
安徽,宿州,2015,5124,1.00% ↓,,,,,,,
安徽,宿州,2016,5015,0.05% ↓,,,,,,,
安徽,宿州,2017,5583,0.02% ↑,,,,,,,
安徽,宿州,2018,6232,0.27% ↓,,,,,,,
安徽,宿州,2019,6474,0.04% ↓,,,,,,,
安徽,宿州,2020,6531,0.45% ↑,,,,,,,
安徽,宿州,2021,6596,0.12% ↓,,,,,,,
安徽,宿州,2022,6519,0.03% ↑,,,,,,,
安徽,宿州,2023,6596,0.27% ↓,,,,,,,
安徽,宿州,2024,6506,0.82% ↓,,,,,,,
安徽,桐城,2019,5733,—,,,,,,,
安徽,桐城,2020,5813,—,,,,,,,
安徽,桐城,2021,5795,—,,,,,,,
安徽,桐城,2022,5783,—,,,,,,,
安徽,桐城,2023,5585,0.11% ↓,,,,,,,
安徽,桐城,2024,5551,0.14% ↓,,,,,,,
安徽,铜陵,2015,5337,—,,,,,,,
安徽,铜陵,2017,7246,0.04% ↑,,,,,,,
安徽,铜陵,2018,8481,1.83% ↓,,,,,,,
安徽,铜陵,2019,7908,0.83% ↑,,,,,,,
安徽,铜陵,2020,7893,0.39% ↓,,,,,,,
安徽,铜陵,2021,7782,0.47% ↓,,,,,,,
安徽,铜陵,2022,7218,0.17% ↑,,,,,,,
安徽,铜陵,2023,6459,1.36% ↓,,,,,,,
安徽,铜陵,2024,6471,0.14% ↑,,,,,,,
安徽,芜湖,2015,5848,—,,,,,,,
安徽,芜湖,2016,6560,1.36% ↑,,,,,,,
安徽,芜湖,2017,9101,—,,,,,,,
安徽,芜湖,2018,10233,4.06% ↓,,,,,,,
安徽,芜湖,2019,9592,0.95% ↓,,,,,,,
安徽,芜湖,2020,9665,0.33% ↓,,,,,,,
安徽,芜湖,2021,9908,0.24% ↓,,,,,,,
安徽,芜湖,2022,9594,1.97% ↓,,,,,,,
安徽,芜湖,2023,8605,1.32% ↓,,,,,,,
安徽,芜湖,2024,8464,0.03% ↑,,,,,,,
安徽,宣城,2017,8090,0.08% ↑,,,,,,,
安徽,宣城,2018,8254,1.93% ↓,,,,,,,
安徽,宣城,2019,8133,0.18% ↑,,,,,,,
安徽,宣城,2020,8135,0.27% ↑,,,,,,,
安徽,宣城,2021,8138,0.06% ↓,,,,,,,
安徽,宣城,2022,8099,0.32% ↑,,,,,,,
安徽,宣城,2023,7898,0.60% ↓,,,,,,,
安徽,宣城,2024,7808,0.28% ↓,,,,,,,
北京,北京,2010,24535,0.81% ↑,,,,,,,
北京,北京,2011,24964,1.69% ↓,,,,,,,
北京,北京,2012,29916,2.15% ↑,,,,,,,
北京,北京,2013,40019,0.28% ↑,,,,,,,
北京,北京,2014,36995,0.45% ↑,,,,,,,
北京,北京,2015,39121,—,,,,,,,
北京,北京,2016,57136,2.74% ↑,,,,,,,
北京,北京,2017,57305,0.01% ↑,,,,,,,
北京,北京,2018,59389,0.45% ↑,,,,,,,
北京,北京,2019,58091,0.03% ↑,,,,,,,
北京,北京,2020,57830,0.52% ↓,,,,,,,
北京,北京,2021,58688,0.16% ↑,,,,,,,
北京,北京,2022,59675,0.63% ↑,,,,,,,
北京,北京,2023,59261,0.27% ↓,,,,,,,
北京,北京,2024,58950,0.25% ↓,,,,,,,
福建,福州,2011,10942,2.69% ↓,,,,,,,
福建,福州,2012,11656,0.75% ↑,,,,,,,
福建,福州,2013,13730,0.57% ↑,,,,,,,
福建,福州,2014,13837,1.40% ↑,,,,,,,
福建,福州,2015,14460,1.00% ↑,,,,,,,
福建,福州,2016,19663,4.61% ↑,,,,,,,
福建,福州,2017,26556,—,,,,,,,
福建,福州,2018,24500,1.09% ↓,,,,,,,
福建,福州,2019,24092,0.80% ↓,,,,,,,
福建,福州,2020,23758,0.46% ↓,,,,,,,
福建,福州,2021,23528,0.04% ↑,,,,,,,
福建,福州,2022,20978,0.51% ↓,,,,,,,
福建,福州,2023,20420,0.28% ↓,,,,,,,
福建,福州,2024,19981,1.58% ↓,,,,,,,
福建,龙岩,2015,8314,18.00% ↑,,,,,,,
福建,龙岩,2016,8575,0.16% ↑,,,,,,,
福建,龙岩,2017,10481,0.01% ↑,,,,,,,
福建,龙岩,2018,10879,1.57% ↓,,,,,,,
福建,龙岩,2019,11678,0.86% ↑,,,,,,,
福建,龙岩,2020,12038,0.08% ↑,,,,,,,
福建,龙岩,2021,13196,1.27% ↓,,,,,,,
福建,龙岩,2022,12037,1.08% ↓,,,,,,,
福建,龙岩,2023,10680,2.26% ↓,,,,,,,
福建,龙岩,2024,10656,0.82% ↑,,,,,,,
福建,南平,2016,5849,—,,,,,,,
福建,南平,2017,7809,0.02% ↑,,,,,,,
福建,南平,2018,8211,0.38% ↑,,,,,,,
福建,南平,2019,8427,1.63% ↑,,,,,,,
福建,南平,2020,8567,0.35% ↑,,,,,,,
福建,南平,2021,9015,1.15% ↑,,,,,,,
福建,南平,2022,8863,1.89% ↑,,,,,,,
福建,南平,2023,7902,1.30% ↓,,,,,,,
福建,南平,2024,8091,1.01% ↑,,,,,,,
福建,宁德,2016,6724,—,,,,,,,
福建,宁德,2017,9415,—,,,,,,,
福建,宁德,2018,9963,3.16% ↓,,,,,,,
福建,宁德,2019,10639,1.25% ↑,,,,,,,
福建,宁德,2020,11517,3.45% ↑,,,,,,,
福建,宁德,2021,13215,1.91% ↓,,,,,,,
福建,宁德,2022,13695,1.33% ↓,,,,,,,
福建,宁德,2023,13377,1.10% ↓,,,,,,,
福建,宁德,2024,12868,2.75% ↓,,,,,,,
福建,莆田,2015,9920,1.00% ↓,,,,,,,
福建,莆田,2016,9832,1.50% ↑,,,,,,,
福建,莆田,2017,13546,0.03% ↑,,,,,,,
福建,莆田,2018,13485,3.59% ↓,,,,,,,
福建,莆田,2019,12059,0.85% ↓,,,,,,,
福建,莆田,2020,11830,1.78% ↓,,,,,,,
福建,莆田,2021,12840,0.43% ↓,,,,,,,
福建,莆田,2022,12569,0.05% ↓,,,,,,,
福建,莆田,2023,12612,0.62% ↓,,,,,,,
福建,莆田,2024,12524,0.46% ↓,,,,,,,
福建,泉州,2011,8458,1.55% ↓,,,,,,,
福建,泉州,2012,8199,5.26% ↑,,,,,,,
福建,泉州,2013,8654,1.07% ↑,,,,,,,
福建,泉州,2014,9326,2.59% ↓,,,,,,,
福建,泉州,2015,7782,1.00% ↓,,,,,,,
福建,泉州,2016,8349,0.56% ↑,,,,,,,
福建,泉州,2017,10565,0.01% ↑,,,,,,,
福建,泉州,2018,11129,0.23% ↑,,,,,,,
福建,泉州,2019,11250,0.47% ↓,,,,,,,
福建,泉州,2020,11425,0.24% ↓,,,,,,,
福建,泉州,2021,14588,1.11% ↑,,,,,,,
福建,泉州,2022,14585,2.00% ↓,,,,,,,
福建,泉州,2023,13919,0.01% ↓,,,,,,,
福建,泉州,2024,13644,0.86% ↓,,,,,,,
福建,三明,2015,7423,6.00% ↓,,,,,,,
福建,三明,2016,7026,0.18% ↑,,,,,,,
福建,三明,2017,7412,0.16% ↑,,,,,,,
福建,三明,2018,8166,0.51% ↑,,,,,,,
福建,三明,2019,9640,0.20% ↓,,,,,,,
福建,三明,2020,9975,0.61% ↓,,,,,,,
福建,三明,2021,10647,0.72% ↓,,,,,,,
福建,三明,2022,10525,0.21% ↓,,,,,,,
福建,三明,2023,10305,1.73% ↓,,,,,,,
福建,三明,2024,9557,5.82% ↓,,,,,,,
福建,厦门,2011,17397,5.50% ↓,,,,,,,
福建,厦门,2012,17047,2.85% ↑,,,,,,,
福建,厦门,2013,22939,0.91% ↑,,,,,,,
福建,厦门,2014,24644,0.63% ↓,,,,,,,
福建,厦门,2015,25762,—,,,,,,,
福建,厦门,2016,38571,1.69% ↑,,,,,,,
福建,厦门,2017,46799,0.03% ↓,,,,,,,
福建,厦门,2018,43216,0.22% ↓,,,,,,,
福建,厦门,2019,45625,0.68% ↓,,,,,,,
福建,厦门,2020,46899,0.73% ↑,,,,,,,
福建,厦门,2021,50165,0.29% ↑,,,,,,,
福建,厦门,2022,52555,0.37% ↑,,,,,,,
福建,厦门,2023,52030,0.36% ↓,,,,,,,
福建,厦门,2024,51635,0.38% ↓,,,,,,,
福建,武夷山,2019,10624,0.45% ↓,,,,,,,
福建,武夷山,2020,10878,1.21% ↑,,,,,,,
福建,武夷山,2021,10422,0.13% ↑,,,,,,,
福建,武夷山,2022,10609,—,,,,,,,
福建,武夷山,2023,10307,1.03% ↓,,,,,,,
福建,武夷山,2024,10274,0.25% ↓,,,,,,,
福建,漳州,2015,8439,—,,,,,,,
福建,漳州,2016,9583,1.68% ↑,,,,,,,
福建,漳州,2017,13560,0.01% ↓,,,,,,,
福建,漳州,2018,12272,1.57% ↓,,,,,,,
福建,漳州,2019,12831,0.76% ↓,,,,,,,
福建,漳州,2020,12719,0.39% ↓,,,,,,,
福建,漳州,2021,12876,1.57% ↓,,,,,,,
福建,漳州,2022,12585,1.02% ↓,,,,,,,
福建,漳州,2023,11703,2.81% ↓,,,,,,,
福建,漳州,2024,11213,1.14% ↓,,,,,,,
甘肃,白银,2018,4827,1.64% ↑,,,,,,,
甘肃,白银,2019,5618,0.03% ↑,,,,,,,
甘肃,白银,2020,5645,0.02% ↑,,,,,,,
甘肃,白银,2021,5556,0.80% ↓,,,,,,,
甘肃,白银,2022,5548,0.31% ↑,,,,,,,
甘肃,白银,2023,5329,1.15% ↓,,,,,,,
甘肃,白银,2024,5303,0.10% ↓,,,,,,,
甘肃,定西,2016,4829,0.07% ↓,,,,,,,
甘肃,定西,2017,5176,0.01% ↑,,,,,,,
甘肃,定西,2018,4854,0.01% ↑,,,,,,,
甘肃,定西,2019,5633,0.50% ↑,,,,,,,
甘肃,定西,2020,5733,0.64% ↑,,,,,,,
甘肃,定西,2021,6149,0.17% ↓,,,,,,,
甘肃,定西,2022,5914,1.47% ↓,,,,,,,
甘肃,定西,2023,6285,0.30% ↓,,,,,,,
甘肃,定西,2024,6242,0.29% ↑,,,,,,,
甘肃,嘉峪关,2019,4296,0.21% ↑,,,,,,,
甘肃,嘉峪关,2020,4384,0.23% ↓,,,,,,,
甘肃,嘉峪关,2021,4742,0.54% ↑,,,,,,,
甘肃,嘉峪关,2022,4823,0.89% ↑,,,,,,,
甘肃,嘉峪关,2023,5065,0.24% ↑,,,,,,,
甘肃,嘉峪关,2024,5117,0.68% ↑,,,,,,,
甘肃,金昌,2019,4285,—,,,,,,,
甘肃,金昌,2020,4213,—,,,,,,,
甘肃,金昌,2021,4473,0.25% ↓,,,,,,,
甘肃,金昌,2022,4719,1.94% ↑,,,,,,,
甘肃,金昌,2023,5050,0.73% ↑,,,,,,,
甘肃,金昌,2024,5099,0.08% ↑,,,,,,,
甘肃,酒泉,2016,4705,0.53% ↑,,,,,,,
甘肃,酒泉,2017,5133,0.01% ↑,,,,,,,
甘肃,酒泉,2018,5285,0.52% ↑,,,,,,,
甘肃,酒泉,2019,5375,0.24% ↓,,,,,,,
甘肃,酒泉,2020,5431,0.12% ↑,,,,,,,
甘肃,酒泉,2021,5697,0.26% ↓,,,,,,,
甘肃,酒泉,2022,5824,0.18% ↑,,,,,,,
甘肃,酒泉,2023,6420,0.81% ↑,,,,,,,
甘肃,酒泉,2024,6402,0.48% ↑,,,,,,,
甘肃,兰州,2011,8280,0.68% ↓,,,,,,,
甘肃,兰州,2012,8000,0.16% ↑,,,,,,,
甘肃,兰州,2013,8646,5.24% ↓,,,,,,,
甘肃,兰州,2014,9224,3.55% ↑,,,,,,,
甘肃,兰州,2015,8397,1.00% ↓,,,,,,,
甘肃,兰州,2016,8941,0.89% ↑,,,,,,,
甘肃,兰州,2017,9909,0.01% ↑,,,,,,,
甘肃,兰州,2018,11542,1.02% ↑,,,,,,,
甘肃,兰州,2019,12327,0.26% ↑,,,,,,,
甘肃,兰州,2020,12619,0.09% ↓,,,,,,,
甘肃,兰州,2021,12598,1.44% ↓,,,,,,,
甘肃,兰州,2022,11712,0.01% ↓,,,,,,,
甘肃,兰州,2023,10629,0.49% ↓,,,,,,,
甘肃,兰州,2024,10545,0.51% ↓,,,,,,,
甘肃,临夏,2019,5191,0.11% ↑,,,,,,,
甘肃,临夏,2020,5692,4.30% ↑,,,,,,,
甘肃,临夏,2021,6441,1.78% ↓,,,,,,,
甘肃,临夏,2022,5593,3.04% ↓,,,,,,,
甘肃,临夏,2023,6697,0.37% ↓,,,,,,,
甘肃,临夏,2024,6661,0.55% ↓,,,,,,,
甘肃,陇南,2019,7727,—,,,,,,,
甘肃,陇南,2020,7679,0.45% ↓,,,,,,,
甘肃,陇南,2021,7714,0.09% ↑,,,,,,,
甘肃,陇南,2022,7714,—,,,,,,,
甘肃,陇南,2023,7605,1.56% ↓,,,,,,,
甘肃,陇南,2024,7683,1.31% ↑,,,,,,,
甘肃,平凉,2016,6094,0.31% ↑,,,,,,,
甘肃,平凉,2017,6694,0.02% ↑,,,,,,,
甘肃,平凉,2018,6490,0.96% ↑,,,,,,,
甘肃,平凉,2019,6589,0.48% ↓,,,,,,,
甘肃,平凉,2020,6624,0.04% ↓,,,,,,,
甘肃,平凉,2021,6671,0.79% ↓,,,,,,,
甘肃,平凉,2022,6399,0.30% ↓,,,,,,,
甘肃,平凉,2023,6137,0.49% ↓,,,,,,,
甘肃,平凉,2024,5959,1.48% ↓,,,,,,,
甘肃,庆阳,2016,5407,9.03% ↑,,,,,,,
甘肃,庆阳,2017,5943,0.04% ↑,,,,,,,
甘肃,庆阳,2018,7116,1.07% ↑,,,,,,,
甘肃,庆阳,2019,7593,0.60% ↑,,,,,,,
甘肃,庆阳,2020,7617,0.11% ↓,,,,,,,
甘肃,庆阳,2021,8047,0.27% ↓,,,,,,,
甘肃,庆阳,2022,7570,0.34% ↓,,,,,,,
甘肃,庆阳,2023,7641,0.18% ↓,,,,,,,
甘肃,庆阳,2024,7610,0.24% ↓,,,,,,,
甘肃,天水,2018,8070,1.44% ↑,,,,,,,
甘肃,天水,2019,9721,0.04% ↓,,,,,,,
甘肃,天水,2020,9793,0.20% ↑,,,,,,,
甘肃,天水,2021,9548,0.45% ↓,,,,,,,
甘肃,天水,2022,8790,0.49% ↓,,,,,,,
甘肃,天水,2023,7776,0.79% ↓,,,,,,,
甘肃,天水,2024,7748,0.35% ↓,,,,,,,
甘肃,武威,2018,6587,2.66% ↑,,,,,,,
甘肃,武威,2019,6503,0.29% ↑,,,,,,,
甘肃,武威,2020,6499,0.16% ↑,,,,,,,
甘肃,武威,2021,6867,0.40% ↓,,,,,,,
甘肃,武威,2022,6565,0.32% ↑,,,,,,,
甘肃,武威,2023,6468,0.99% ↓,,,,,,,
甘肃,武威,2024,6480,0.38% ↑,,,,,,,
甘肃,张掖,2019,3547,0.02% ↓,,,,,,,
甘肃,张掖,2020,3573,0.05% ↑,,,,,,,
甘肃,张掖,2021,3596,0.01% ↑,,,,,,,
甘肃,张掖,2022,3611,0.18% ↓,,,,,,,
甘肃,张掖,2023,3850,—,,,,,,,
甘肃,张掖,2024,3887,1.39% ↑,,,,,,,
广东,潮州,2017,6315,0.15% ↑,,,,,,,
广东,潮州,2018,8524,1.54% ↓,,,,,,,
广东,潮州,2019,6872,1.87% ↓,,,,,,,
广东,潮州,2020,6056,5.72% ↓,,,,,,,
广东,潮州,2021,6012,0.95% ↓,,,,,,,
广东,潮州,2022,6205,1.16% ↑,,,,,,,
广东,潮州,2023,7059,2.76% ↓,,,,,,,
广东,潮州,2024,7100,0.18% ↑,,,,,,,
广东,东莞,2011,6472,1.41% ↓,,,,,,,
广东,东莞,2012,6677,0.68% ↓,,,,,,,
广东,东莞,2013,7550,1.28% ↑,,,,,,,
广东,东莞,2014,7862,0.80% ↑,,,,,,,
广东,东莞,2015,8304,—,,,,,,,
广东,东莞,2016,11557,5.06% ↑,,,,,,,
广东,东莞,2017,13801,0.01% ↑,,,,,,,
广东,东莞,2018,14694,0.95% ↓,,,,,,,
广东,东莞,2019,15973,1.15% ↑,,,,,,,
广东,东莞,2020,15882,1.28% ↓,,,,,,,
广东,东莞,2021,19637,1.95% ↓,,,,,,,
广东,东莞,2022,21743,2.98% ↑,,,,,,,
广东,东莞,2023,19985,2.80% ↓,,,,,,,
广东,东莞,2024,19716,0.08% ↑,,,,,,,
广东,佛山,2010,5901,1.40% ↑,,,,,,,
广东,佛山,2011,6126,0.68% ↑,,,,,,,
广东,佛山,2012,5954,1.32% ↑,,,,,,,
广东,佛山,2013,6228,0.46% ↑,,,,,,,
广东,佛山,2014,6026,1.17% ↓,,,,,,,
广东,佛山,2015,6033,1.00% ↓,,,,,,,
广东,佛山,2016,7103,2.54% ↑,,,,,,,
广东,佛山,2017,10147,0.01% ↑,,,,,,,
广东,佛山,2018,10820,1.19% ↑,,,,,,,
广东,佛山,2019,12547,1.11% ↑,,,,,,,
广东,佛山,2020,12898,0.32% ↓,,,,,,,
广东,佛山,2021,14106,0.24% ↓,,,,,,,
广东,佛山,2022,14680,1.10% ↓,,,,,,,
广东,佛山,2023,13867,0.60% ↓,,,,,,,
广东,佛山,2024,13960,0.28% ↑,,,,,,,
广东,广州,2010,12840,4.28% ↑,,,,,,,
广东,广州,2011,14643,0.58% ↑,,,,,,,
广东,广州,2012,16422,2.15% ↑,,,,,,,
广东,广州,2013,19054,1.94% ↓,,,,,,,
广东,广州,2014,18415,2.67% ↑,,,,,,,
广东,广州,2015,19855,—,,,,,,,
广东,广州,2016,22742,1.49% ↑,,,,,,,
广东,广州,2017,28349,2.03% ↑,,,,,,,
广东,广州,2018,31831,0.42% ↓,,,,,,,
广东,广州,2019,31423,1.55% ↑,,,,,,,
广东,广州,2020,30726,1.59% ↓,,,,,,,
广东,广州,2021,34690,0.61% ↓,,,,,,,
广东,广州,2022,33294,0.37% ↓,,,,,,,
广东,广州,2023,30953,1.62% ↓,,,,,,,
广东,广州,2024,30363,1.32% ↓,,,,,,,
广东,河源,2015,8157,14.00% ↑,,,,,,,
广东,河源,2016,6310,0.50% ↓,,,,,,,
广东,河源,2017,6377,0.03% ↓,,,,,,,
广东,河源,2018,6393,1.47% ↓,,,,,,,
广东,河源,2019,6351,0.27% ↓,,,,,,,
广东,河源,2020,6394,0.28% ↓,,,,,,,
广东,河源,2021,6518,0.79% ↑,,,,,,,
广东,河源,2022,5944,0.01% ↓,,,,,,,
广东,河源,2023,5467,0.37% ↓,,,,,,,
广东,河源,2024,5446,0.53% ↓,,,,,,,
广东,惠州,2011,5489,1.07% ↓,,,,,,,
广东,惠州,2012,5652,1.84% ↑,,,,,,,
广东,惠州,2013,5436,2.00% ↓,,,,,,,
广东,惠州,2014,5540,3.71% ↑,,,,,,,
广东,惠州,2015,6076,2.00% ↑,,,,,,,
广东,惠州,2016,8118,0.95% ↑,,,,,,,
广东,惠州,2017,10145,0.03% ↑,,,,,,,
广东,惠州,2018,9932,1.27% ↓,,,,,,,
广东,惠州,2019,9874,0.57% ↑,,,,,,,
广东,惠州,2020,9860,0.72% ↓,,,,,,,
广东,惠州,2021,10582,0.20% ↓,,,,,,,
广东,惠州,2022,10841,1.11% ↑,,,,,,,
广东,惠州,2023,9713,0.24% ↓,,,,,,,
广东,惠州,2024,9666,0.39% ↑,,,,,,,
广东,江门,2016,5443,1.98% ↑,,,,,,,
广东,江门,2017,6635,0.01% ↓,,,,,,,
广东,江门,2018,7082,1.20% ↓,,,,,,,
广东,江门,2019,7091,0.13% ↑,,,,,,,
广东,江门,2020,6843,0.42% ↓,,,,,,,
广东,江门,2021,7529,1.21% ↑,,,,,,,
广东,江门,2022,7406,2.36% ↑,,,,,,,
广东,江门,2023,6990,1.59% ↓,,,,,,,
广东,江门,2024,7003,0.18% ↑,,,,,,,
